State,Year,Property_Burglary_Rates,Property_Larceny_Rates,Property_Motor_Rates,Violent_Assault_Rates,Violent_Murder_Rates,Violent_Rape_Rates,Violent_Robbery_Rates
Utah,1963,500.1,1645.7,185.8,27.7,2.4,7.8,22.9
Utah,1964,527.5,1704.2,202.6,51.4,1.5,10.1,26.5
Utah,1965,606.9,2008.8,208.5,56,1.5,8.9,23.1
Utah,1966,689.7,2262.5,264.2,65.2,2,10.2,36.5
Utah,1967,685.5,2217,225.3,68.2,2.7,7.2,38.5
Utah,1968,741.3,2469.2,255.2,68.5,2.9,11.1,33.7
Utah,1969,848.5,2742,297.7,74.2,2.5,14.1,49
Utah,1970,915,2832.7,316.3,70.3,3.4,10.9,53.1
Utah,1971,914.7,3089.1,328.3,75.8,2.7,14.6,60.5
Utah,1972,913.2,2832.2,277.7,99.7,2.9,18.3,62.3
Utah,1973,989.3,2748.1,301.2,119.8,3.2,22.9,62.6
Utah,1974,1132.9,3272.9,329.8,113.4,3.2,22.3,75.8
Utah,1975,1187.8,3372.6,320.5,129.2,2.7,20.9,79
Utah,1976,1137.9,3302,317.3,125.8,4.5,20.9,69.4
Utah,1977,1171.6,3004.6,334.5,147.3,3.5,20.3,68.8
Utah,1978,1187.1,3186.1,333.9,178.7,3.7,22.9,66.5
Utah,1979,1178.9,3673.4,335.6,193.8,4.8,27.9,77.7
Utah,1980,1321.9,3931.8,323.6,191.7,3.8,27.7,80.2
Utah,1981,1274.8,3882.3,294.3,182.1,3.3,28.4,84.8
Utah,1982,1106.9,3689.9,251.5,172.1,3.4,23.7,86.5
Utah,1983,1015.8,3610.4,235.7,163.3,3.5,24.9,64.3
Utah,1984,858.1,3437.2,226.7,163.1,2.8,20.3,58
Utah,1985,942.9,3870.4,236.7,186,3,23.2,55.2
Utah,1986,914.9,4073.6,223.2,179.6,3.2,25.3,58.6
Utah,1987,950.9,4228.5,209.5,152,3.3,21.7,52.8
Utah,1988,881,4238.7,215.7,162.6,2.8,23.6,54.1
Utah,1989,897,4288.8,237.6,174.9,2.6,28.6,52.6
Utah,1990,880.6,4257.6,237.7,186.3,3,37.8,56.9
Utah,1991,840.2,4239.6,241,183.1,2.9,45.6,55.1
Utah,1992,885,4245.1,237.9,186.2,3,45.4,55.9
Utah,1993,790.8,3903.4,242.2,194.7,3.1,44.6,58.6
Utah,1994,790.8,3907.4,298.2,195.8,2.9,42.2,63.6
Utah,1995,800.8,4572.1,389.1,215.1,3.9,42.7,67.1
Utah,1996,848.3,4377.1,428.6,218.1,3.2,41.8,68.9
Utah,1997,890.5,4326.9,444.1,215.8,2.4,47.5,68.4
Utah,1998,694.9,3721.7,351.5,183.9,2.1,38.4,55.1
Utah,1999,685.1,3669.6,346.6,181.3,2.1,37.8,54.4
Utah,2000,642.5,3288.5,289.3,159.5,1.9,38.6,55.6
Utah,2001,605.8,3101.6,285.8,138.4,2.9,39.3,52.5
Utah,2002,652.2,3225.6,333,144.8,2,40.7,49.2
Utah,2003,721.1,3202.3,331.7,155.3,2.6,39.1,53.5
Utah,2004,628.9,3093.7,315.9,140.4,1.9,39.9,51.1
Utah,2005,601.2,2894,341,142.2,2.2,36.9,44
Utah,2006,577.3,2607,328.3,140.7,2,34.9,48.7
Utah,2007,589.5,2592.2,337,148.5,2.2,35.3,53.9
Utah,2008,539.6,2569,267.1,138.4,1.5,33.4,51.9
Utah,2009,547.9,2497.9,249.1,133.4,1.4,33.8,46.8
Utah,2010,543.9,2422.7,215.4,130.4,1.9,35.4,45.7
Utah,2011,468,2299.9,219.8,125,1.8,32,38.3
Utah,2012,453.3,2328.4,210.1,132.5,1.8,33,38.5
Utah,2013,459.6,2233.4,257.3,130.4,1.7,49,42.8
Utah,2014,391.4,2239.1,248,119.4,2.3,49.4,44.6
Utah,2015,416.2,2273.2,290.6,135.1,1.8,54.9,44.3
Utah,2016,420.7,2223.2,307.7,140.1,2.4,49.8,50.5
Utah,2017,381,2092.1,307.2,134.5,2.4,54.7,47.3
Utah,2018,315.3,1817.7,244.5,136.6,1.9,55.5,39.1
Utah,2019,276.7,1682.4,210.2,141.4,2.2,56.8,35.1
Vermont,1960,242.1,486.8,86.9,4.6,0.3,2.3,2.3
Vermont,1961,335.2,377,84.6,5.3,1.5,9.1,4.1
Vermont,1962,374.6,546.9,89.7,3.6,0.3,6.2,4.6
Vermont,1963,413.8,555.6,118.2,7.7,0.5,8.5,6.9
Vermont,1964,260.1,481.2,99.3,12.2,0.5,5.9,3.2
Vermont,1965,323.9,536,98,10.8,0.5,6.5,4.5
Vermont,1966,427.9,552.6,116.8,7.4,1.5,6.9,4
Vermont,1967,517,559.2,124.9,11.3,3.1,4.3,1.9
Vermont,1968,496,593.6,85.8,21.1,2.6,7.3,6.2
Vermont,1969,599.5,805.5,113,32.3,2.5,9.1,9.3
Vermont,1970,730.6,968.7,123.9,54.6,1.3,10.3,7.6
Vermont,1971,726,1142.6,139.1,50.4,1.1,11.4,9.8
Vermont,1972,738.3,1255.8,114.1,73.2,1.7,10.8,10.6
Vermont,1973,801.5,1489.9,136.2,48.3,2.2,11.2,8.8
Vermont,1974,1019.4,1606.6,173.6,45.5,3.4,12.3,13.8
Vermont,1975,1100,2112.1,173.9,62.6,2.1,14.6,15.7
Vermont,1976,1022.7,1853.2,198.1,80,5.5,14.9,17.9
Vermont,1977,1348.2,2201,265.2,101.2,1.4,15.9,30.8
Vermont,1978,1261.2,2164.9,214.2,134.1,3.3,14.6,14.4
Vermont,1979,1577.9,3200,337.1,131.2,1.4,22.9,28.6
Vermont,1980,1526.7,2988.1,294.9,108.5,2.2,29.1,38.9
Vermont,1981,1559.8,3079.6,293.4,63.1,4.3,33,27.6
Vermont,1982,1178.3,3131.8,254.8,66.7,2.3,34.9,23.1
Vermont,1983,1090.3,2723,186.9,60.4,3.6,40.8,27.8
Vermont,1984,1016.4,2651.7,154.7,100,2.3,19.8,23
Vermont,1985,973.8,2602.6,163.9,104.1,3.4,19.3,20.9
Vermont,1986,949.2,2697.4,181.1,103.1,2,21.8,22.2
Vermont,1987,1110.4,2825.7,198.5,94.5,2.7,22.4,16.8
Vermont,1988,1096.8,2804.1,197.3,101.3,2,23,16
Vermont,1989,1029.1,2727.7,198.9,89.8,1.9,23.1,18
Vermont,1990,1087.3,2918.5,207.9,87.2,2.3,25.9,11.7
Vermont,1991,1020.1,2673.9,144.4,72.3,2.1,30.5,11.8
Vermont,1992,825.6,2369.6,105.3,73.5,2.1,24.9,8.9
Vermont,1993,874.3,2851.2,132.6,61.8,3.6,39.8,9
Vermont,1994,736.9,2267.9,148.6,56,1,27.6,12.2
Vermont,1995,760.9,2418.8,135.7,76.9,2.2,28.2,10.9
Vermont,1996,673,2058.4,150.3,76.9,1.9,27,15.4
Vermont,1997,613.1,1959.6,135.8,78.3,1.5,26.5,13.4
Vermont,1998,671.1,2213.9,147.9,67,2.2,27.6,9.5
Vermont,1999,595.7,1955.4,153.6,77.1,2.9,22.9,10.9
Vermont,2000,575,2165.5,132.9,69.8,1.5,23,19.2
Vermont,2001,513.9,2027.2,123.7,69,1.1,17.5,17.5
Vermont,2002,566,1733.3,124.8,71.7,2.1,20.4,12.5
Vermont,2003,487.1,1635.9,105.6,81.4,2.4,20.3,10
Vermont,2004,552.9,1696.1,94.5,73.9,2.6,25.8,12.6
Vermont,2005,511.7,1750,108,87.6,1.3,24.6,12.2
Vermont,2006,551.8,1740.2,99.4,96.8,2.2,27.7,18.3
Vermont,2007,515.1,1747,104.5,93.7,2.1,20.6,12.7
Vermont,2008,565.8,1899.7,94.3,98.3,2.7,21.4,15
Vermont,2009,558.3,1783.6,72.2,94.2,1.3,21.2,17.9
Vermont,2010,534.9,1657.3,70.1,95.2,1.1,22.5,12.1
Vermont,2011,612.5,1710.8,84.3,106.8,1.8,23.3,15.8
Vermont,2012,633.4,1695.8,69.5,104.2,1.3,19.3,17.9
Vermont,2013,528.7,1632.2,53.3,87.1,1.6,20.7,11.6
Vermont,2014,324.6,1160.8,38.9,68.9,1.6,17.6,11.2
Vermont,2015,314.4,1063.8,28.4,78.6,1.6,21.7,16.1
Vermont,2016,336.7,1315.6,45.1,110.6,2.2,28.5,17
Vermont,2017,297.3,1108.3,31.1,113.8,2.2,35,14.8
Vermont,2018,234.2,1008.5,40.4,113.4,1.6,45.8,11.2
Vermont,2019,204.3,1172.3,47.8,144.6,1.8,44.6,11.4
Virginia,1960,393.1,949.3,126.7,137.1,12.3,8,26.3
Virginia,1961,423.8,1025.5,134.7,141.1,8.6,10.2,26.2
Virginia,1962,431.7,1018.7,128.4,142.4,8.7,8.2,25.6
Virginia,1963,451.1,1093,134,144.8,7.1,9.6,29.3
Virginia,1964,538,1249.7,158.2,186.6,8.4,11.6,34.7
Virginia,1965,548.7,1250.9,172.1,167.5,8.2,12,39.9
Virginia,1966,620.5,1272.2,205.3,166.2,8.1,12,44.5
Virginia,1967,721.1,1428.7,241.2,152.5,9.1,13.2,52.8
Virginia,1968,786.4,1559.9,262.3,187.2,10.3,15.6,65.8
Virginia,1969,760.2,1690.1,291.4,161.6,7.3,16.4,81
Virginia,1970,914.6,2134.9,313.9,179.1,10.4,17.1,95.5
Virginia,1971,920.2,2076.5,310.5,188.2,10.1,21.3,106.8
Virginia,1972,896.9,1862.1,281.4,199,11.8,21.7,113.5
Virginia,1973,937.6,2004.3,283,194.5,10.5,22.9,104.8
Virginia,1974,1140.9,2409.4,280.8,193,10.6,25.9,127.4
Virginia,1975,1165.7,2730.7,269.2,206.9,11.5,24,138.5
Virginia,1976,1019.1,2650.2,226.1,167.9,9.5,22.2,108.2
Virginia,1977,986.2,2521.2,226.7,165.7,9,23.3,92.1
Virginia,1978,990.8,2566.8,229,157.8,8.8,22.7,97.1
Virginia,1979,1082.6,2730.9,246.8,153.7,8.6,27.1,111.6
Virginia,1980,1202.6,2882.3,227.9,151.1,8.6,27.4,120.1
Virginia,1981,1167.5,2979.7,201.9,152.7,8.6,27.2,133.2
Virginia,1982,973.5,2789.1,184.1,154.6,7.4,24.9,122.2
Virginia,1983,919.9,2571.4,177.7,150.4,7,24.7,110.5
Virginia,1984,841.7,2462.9,183.4,158.9,7.7,26.7,102.3
Virginia,1985,785.1,2502.6,196.7,160.1,7.1,27.2,100.2
Virginia,1986,812.5,2521.8,219.5,166.7,7.1,26.5,105.7
Virginia,1987,806.9,2603.2,254.4,155.8,7.4,26,105.8
Virginia,1988,818.4,2757.6,301.6,151.8,7.8,27.1,112.5
Virginia,1989,756.9,2831.2,310.9,171.3,7.9,26.9,106.5
Virginia,1990,731.1,3031.4,327.5,187.6,8.8,31,123.3
Virginia,1991,783.1,3112.5,338.6,196.4,9.3,29.9,137.6
Virginia,1992,709.1,2909,305.6,196.8,8.8,31.5,137.8
Virginia,1993,667.7,2790.1,285.5,189.8,8.3,32.1,142
Virginia,1994,638.8,2772,279.1,187.6,8.7,28.5,132.8
Virginia,1995,595.2,2740,292.6,194.9,7.6,27.2,131.7
Virginia,1996,588.1,2760.1,278.8,184.5,7.5,26.7,122.6
Virginia,1997,571.4,2679,280.5,186.5,7.2,27,124.5
Virginia,1998,560.9,2503.5,270.3,187.2,6.2,26.7,105.6
Virginia,1999,471.6,2326.5,261.2,182.8,5.7,25,101.1
Virginia,2000,429.9,2064.8,251.6,164.3,5.7,22.8,88.9
Virginia,2001,439.1,2182.4,261.8,166,5.1,24.6,95.3
Virginia,2002,435.8,2161.8,253.5,165.6,5.3,25.2,95.5
Virginia,2003,395.2,2082.3,244.1,156.9,5.6,24.5,91.1
Virginia,2004,384.4,2060.5,233.3,153.8,5.2,24.3,92.2
Virginia,2005,394.3,2044,211,154.9,6.1,23.3,99.1
Virginia,2006,420.9,1874.8,193.6,152.7,5.3,23.9,101.8
Virginia,2007,415.3,1888.4,182.8,144.3,5.4,23.2,99.8
Virginia,2008,414.3,1946.1,171.8,133.8,4.8,23.1,96.2
Virginia,2009,405.4,1907.7,148.3,125.7,4.7,19.9,80.5
Virginia,2010,383.9,1819.4,132.2,119,4.7,19.7,70.8
Virginia,2011,378.3,1758,120.6,107.3,3.8,19.6,66.9
Virginia,2012,360.5,1690.7,110.9,111.1,3.8,17.7,57.5
Virginia,2013,322.5,1640.1,103.3,109.7,3.8,27.4,55.3
Virginia,2014,277.7,1560.5,92.1,112.9,4.1,27.7,51.5
Virginia,2015,254.6,1515.2,96.8,110.2,4.6,27.9,53
Virginia,2016,238,1505.1,116.4,122.2,5.8,32.5,57.1
Virginia,2017,218,1454.7,120.1,117.9,5.3,33.8,51.1
Virginia,2018,182.8,1356.4,126.5,118.7,4.6,34.3,42.3
Virginia,2019,162.8,1359.5,120.3,128.7,5,33,41.3
Washington,1960,487.5,1530.1,158,17.6,2.1,5.8,31.1
Washington,1961,471.9,1531.7,169.6,18.7,2.2,6.2,31.1
Washington,1962,488.9,1603.9,177.3,24.6,2.5,6.3,30.3
Washington,1963,529,1622.6,177.9,27.8,2.5,6.4,30
Washington,1964,600.3,1843.5,192.7,54,2.4,7.7,28.5
Washington,1965,611.1,1815.7,191.5,60.4,2.2,10.2,30.3
Washington,1966,669.7,2065.9,240.4,72.4,2.5,11.6,36.7
Washington,1967,837.7,2463.5,281.5,83.7,3.1,12.5,54.6
Washington,1968,1019.5,2435.6,297.1,93.7,3.6,17.1,98.4
Washington,1969,1296.5,2716.4,380.7,106.3,3.6,19.4,113
Washington,1970,1444.5,2853.5,361.8,106.3,3.5,18,93.5
Washington,1971,1392.8,2912.4,344.3,121.6,3.8,17.7,93.3
Washington,1972,1381.4,2739.9,331.3,137,4.2,21.8,87.6
Washington,1973,1540.4,2902.4,375.7,145,4,26.2,96.3
Washington,1974,1772.5,3484.8,405.5,196.6,5.1,29,115.5
Washington,1975,1723.1,3641.6,385.4,228.4,5.7,32.7,124
Washington,1976,1642.4,3414.3,348.7,230.5,4.3,34.3,119.5
Washington,1977,1605.6,3386.9,360.3,224.8,4.3,39.6,106.2
Washington,1978,1766.6,3548.8,394.9,234.4,4.6,41.2,125
Washington,1979,1783.6,3876.8,434.5,262.8,4.8,46.4,120.7
Washington,1980,1862.2,4192.9,395.6,271,5.5,52.7,135.1
Washington,1981,1892.1,4083.4,319.2,262,5.1,50.2,130
Washington,1982,1680.1,3914.9,280.8,238.3,4.4,45.9,117.9
Washington,1983,1640.1,3812.9,253,216.7,4.9,44.7,105.4
Washington,1984,1702,3745.8,247.4,231.1,4.6,50,120.6
Washington,1985,1811.3,4003.2,288.9,233.3,5.2,54.9,132
Washington,1986,1861.5,4266.6,314.5,243.5,5,53.4,135.1
Washington,1987,1904.5,4277.9,395.2,240.2,5.6,52.2,141.4
Washington,1988,1855.6,4358.1,432.9,258.3,5.7,56.5,145.9
Washington,1989,1545.1,4119.3,457.6,265.5,4.4,61.7,140.1
Washington,1990,1262.9,4011.4,447.1,302.7,4.9,64,130
Washington,1991,1235.5,4101.5,444.5,302.5,4.2,70.3,145.5
Washington,1992,1121.7,4045.1,471.5,317.8,5,72,139.8
Washington,1993,1067.2,3914.4,456.1,307.9,5.2,64.4,137.1
Washington,1994,1044.2,3971.5,500.5,305.6,5.5,60.5,139.7
Washington,1995,1091.2,4140.3,554,287.3,5.1,59.2,132.7
Washington,1996,1057.5,3898.5,522.2,256.4,4.6,51.1,119
Washington,1997,1106.3,3811.5,567.8,265,4.3,51.4,120
Washington,1998,1062.5,3757.7,618.7,260.8,3.9,48.2,115.6
Washington,1999,949.4,3341.2,587.3,226.3,3,47.1,100.9
Washington,2000,907.3,3234.6,594.1,221.3,3.3,46.4,98.6
Washington,2001,884.7,3255.8,652,209.3,3,43.4,99
Washington,2002,905.7,3189.8,667.4,201.9,3,45.1,95.5
Washington,2003,950.4,3142.1,662.5,204,3,46.7,93.3
Washington,2004,976.8,3173.4,696.5,200,3.1,46,94.5
Washington,2005,959.1,3147,783,205.7,3.3,44.7,92
Washington,2006,920,2864.1,726,202.2,3.1,43,100.4
Washington,2007,817.4,2640.2,589.3,198.8,2.7,41,94
Washington,2008,811.3,2550.1,444.8,192.7,2.9,40.5,98
Washington,2009,796,2527.3,356.3,194,2.9,38.8,100.7
Washington,2010,818.5,2498.8,381.8,185,2.3,38.2,87.9
Washington,2011,828.9,2386.4,363.8,176.5,2.4,34,82.5
Washington,2012,880.5,2395.3,382.8,177.5,3,31.8,83.3
Washington,2013,837,2465.9,407.4,166.4,2.3,36.9,83.5
Washington,2014,783,2489.1,434,164.7,2.5,38.2,79.9
Washington,2015,711.2,2378,374.7,167.8,2.9,37.7,76
Washington,2016,674.8,2376.3,443,179.7,2.7,42.2,77.5
Washington,2017,590.4,2194.4,388.8,184.6,3.1,44,72.8
Washington,2018,533.5,2045.4,367.3,189.1,3.1,45.3,73.9
Washington,2019,453.6,1907.9,320.5,179.9,2.6,43.8,67.6
West Virginia,1960,234.2,352.5,69.4,43.2,4.4,4.2,12.8
West Virginia,1961,237.6,293.3,68.3,42.6,4.4,4.4,11.7
West Virginia,1962,216.4,394.6,71.3,41.3,3.7,4.2,15.4
West Virginia,1963,226.3,402.9,74,42.5,5.3,4.2,14.6
West Virginia,1964,268.1,410.4,78.5,50.1,3.7,5,16.9
West Virginia,1965,253.9,418.2,69.4,55.4,4,4.2,14.4
West Virginia,1966,259.3,509.8,77.5,61.5,4.2,5.1,19.1
West Virginia,1967,298.4,542,87.4,68.4,4.6,4.7,19.3
West Virginia,1968,349.8,614.7,92,73.2,5.5,4.4,25.5
West Virginia,1969,322.7,599.6,85.4,67.3,5.6,5.1,19.1
West Virginia,1970,388.5,773.8,92.4,83.5,6.2,6.7,27.3
West Virginia,1971,387.7,770.9,110.8,85.1,6.4,5,35.4
West Virginia,1972,413,784.7,109.7,83.2,6.1,8.2,31.6
West Virginia,1973,415.8,824.9,107.1,80.8,5.7,9.3,27.9
West Virginia,1974,551.8,953.3,126.9,86.1,6,10,35.2
West Virginia,1975,591,1228.7,126.4,99.5,7.4,9.3,45.5
West Virginia,1976,573.1,1459,135.9,96.6,6.7,10.3,38
West Virginia,1977,597.4,1341.7,163.3,90.9,6,13.2,42.2
West Virginia,1978,648.3,1278.3,175.8,99.9,6.8,14.7,46.3
West Virginia,1979,636.8,1318.2,202.3,101.8,6.8,15.5,43.9
West Virginia,1980,738.5,1429.8,199.7,112.2,7.1,15.8,48.5
West Virginia,1981,775.1,1480.5,188.4,103.7,6,14.8,50.2
West Virginia,1982,717.9,1435.4,183.1,104.3,5.2,15.5,49.8
West Virginia,1983,684.7,1380.9,181.6,109.3,4.9,13.4,44.2
West Virginia,1984,648,1347.1,172.5,110,4.4,15.6,38.1
West Virginia,1985,618.4,1301.2,167.3,106.1,3.8,18.5,37.6
West Virginia,1986,625.3,1357.7,169.2,98.6,5.9,18.9,41
West Virginia,1987,603.6,1288.1,161.7,78.7,4.8,22.6,31.2
West Virginia,1988,610.9,1334.8,161.7,73.6,4.9,18.7,34.2
West Virginia,1989,626.5,1432.8,156.8,78.8,6.5,18.7,42.7
West Virginia,1990,657.1,1522.7,153.9,102.1,5.7,23.6,37.9
West Virginia,1991,666.8,1630.7,174.9,118.5,6.2,23,43.3
West Virginia,1992,622.9,1611.5,163.8,140,6.3,21.7,43.5
West Virginia,1993,599.1,1563.5,161.5,138.5,6.9,20.1,43
West Virginia,1994,585.8,1547.1,179.7,147.6,5.4,20.3,42.4
West Virginia,1995,565,1516.6,166.3,141.4,4.9,21.2,42.7
West Virginia,1996,546.5,1549.8,176.9,146.3,3.8,19.6,40.4
West Virginia,1997,586.3,1483.1,181,151.9,4.1,19.5,43.1
West Virginia,1998,613.5,1497.9,187.2,188.3,4.3,18.7,37.3
West Virginia,1999,570.2,1591.7,208.2,291,4.4,18.7,36.6
West Virginia,2000,546.9,1556.1,183.3,254.2,2.5,18.3,41.4
West Virginia,2001,533.1,1569.6,178.6,220.3,2.2,17.8,39.3
West Virginia,2002,536.2,1525,216,176.1,3.2,18.2,36.4
West Virginia,2003,579.5,1568.3,191.2,195.5,4,17.2,38.7
West Virginia,2004,606.5,1741.5,207.8,216.4,3.8,19.1,42.7
West Virginia,2005,624.8,1797,211,205.9,4.5,18.5,45
West Virginia,2006,636.7,1776.5,223.1,207.6,4.4,22.2,46.9
West Virginia,2007,597.2,1728.5,191.9,205.1,3.6,21.4,46.7
West Virginia,2008,597.4,1761.8,174.4,201.4,3.7,21.4,49.4
West Virginia,2009,659.7,1728.4,151.5,224.5,4.6,25.8,50.2
West Virginia,2010,581.2,1515.6,130.4,236.7,3.1,19.5,41.8
West Virginia,2011,552.3,1437.1,113.6,228.4,4.7,20.1,43.2
West Virginia,2012,608.5,1637.3,119.1,244.6,3.9,22.7,45.2
West Virginia,2013,521.7,1478.9,103.3,226.7,3.3,35.2,35.1
West Virginia,2014,484.9,1447.3,102.5,235.5,4,27.3,35.2
West Virginia,2015,497.3,1401.3,121.4,256.4,3.8,36.4,41.2
West Virginia,2016,507.9,1402.3,137,278.5,4.4,35.9,39.3
West Virginia,2017,420.1,1266.6,165.3,273.4,4.7,43.8,28.9
West Virginia,2018,296.5,1049.6,139.5,218.5,3.7,36.1,31.7
West Virginia,2019,328.7,1119.7,135,249.1,4.4,42.1,21.1
Wisconsin,1960,198.6,810.6,104.4,19.6,1.3,2.8,8.3
Wisconsin,1961,224.3,850.2,85.8,18.5,1.6,2.5,9
Wisconsin,1962,214,831.9,103.6,16.9,0.9,2.4,8.5
Wisconsin,1963,236,958.4,120.3,18.1,1.7,2.8,9.7
Wisconsin,1964,285.5,1114.1,142.9,27.4,1.5,3,11
Wisconsin,1965,286.5,1102.8,153.5,29.5,1.5,3.6,11.5
Wisconsin,1966,344.8,1315.5,191.6,29.2,1.9,3.6,12.9
Wisconsin,1967,450.3,1496.8,214.6,35.9,1.9,4.6,28
Wisconsin,1968,503.8,1597.7,204.1,39.2,2.2,6.2,33.1
Wisconsin,1969,498.5,1685.1,223.9,43.1,2.1,7.2,28.3
Wisconsin,1970,538.5,1860.1,217.6,44,2,6.7,33.1
Wisconsin,1971,629.4,2051.8,240.6,46.4,2.8,7.6,31.5
Wisconsin,1972,638.5,1983.2,232.7,48.6,2.8,8.3,36.7
Wisconsin,1973,710.6,2122,228.9,53.3,2.6,10.8,48.7
Wisconsin,1974,836.9,2417.8,246.1,59.9,3,11.3,66.3
Wisconsin,1975,918.5,2665.4,239.9,64.5,3.3,10.6,73.4
Wisconsin,1976,843.8,2696.4,222.8,63.5,3,11.8,59.3
Wisconsin,1977,846.9,2614.2,220.7,63.7,2.8,12.9,52.2
Wisconsin,1978,846.3,2672.3,229.5,65.2,2.5,14.5,49.9
Wisconsin,1979,949.3,3005.9,266.7,86.1,3.4,16.1,60.5
Wisconsin,1980,1079.4,3291.4,245.2,94.1,2.9,14.9,70.7
Wisconsin,1981,1072.2,3289.6,217.2,100.2,3.4,15.7,68.6
Wisconsin,1982,977.2,3088.7,182.7,101.9,3.1,14.3,71.2
Wisconsin,1983,883.6,2976.9,204.3,98.1,2.8,18.1,71.9
Wisconsin,1984,834.1,2906.5,235.1,111.1,2.5,16.6,66.4
Wisconsin,1985,795.5,2792.6,221.6,115.6,2.8,18.3,70.2
Wisconsin,1986,782.9,2802.2,253.8,161.9,3.1,20.1,72.8
Wisconsin,1987,842.6,2830.4,246.5,160.2,3.5,19.8,66.4
Wisconsin,1988,729.2,2759.3,269.2,124.5,3,19.9,67.1
Wisconsin,1989,733.2,2877.3,331.7,123.4,3.6,20.4,75.2
Wisconsin,1990,751.4,2962.6,416.5,126.7,4.6,20.7,112.7
Wisconsin,1991,751.6,3000.9,436.4,127.7,4.8,25.4,119
Wisconsin,1992,691.9,2919.9,431.5,125.3,4.4,26.3,119.8
Wisconsin,1993,663,2762,364.7,121.4,4.4,25.2,113.4
Wisconsin,1994,645.9,2667.4,360.5,129.7,4.5,23.5,112.9
Wisconsin,1995,613.2,2627.8,363.6,148.4,4.3,23.3,105.1
Wisconsin,1996,588.3,2634.5,345.9,131.1,4,21,96.6
Wisconsin,1997,570.7,2533.9,302.5,145.5,4,20.3,100.9
Wisconsin,1998,569.3,2452.8,272,139.9,3.6,19.9,85.6
Wisconsin,1999,488.2,2298.9,263.2,137.6,3.4,20.1,84.7
Wisconsin,2000,469.5,2229.9,272.9,127.3,3.2,21.7,84.6
Wisconsin,2001,498.1,2317.4,272.3,124.1,3.6,21.1,82.2
Wisconsin,2002,513.4,2267.9,247.4,112.8,2.8,22.7,86.6
Wisconsin,2003,484.9,2169.7,225.8,115.5,3.3,22,80.3
Wisconsin,2004,433.4,2025.6,206.7,112.5,2.8,20.6,73.9
Wisconsin,2005,442.3,2000,228,135.2,3.7,20.5,82.4
Wisconsin,2006,486.6,2081.9,252.5,160.8,3,22.2,100.1
Wisconsin,2007,497.9,2105.8,240.3,168.5,3.3,21.9,97.8
Wisconsin,2008,487.9,2069.2,205.1,161.2,2.6,20,91.7
Wisconsin,2009,474.2,1979.7,158,150,2.6,19.8,86.7
Wisconsin,2010,468,1897.4,143.2,145.9,2.7,20.9,79.3
Wisconsin,2011,475.8,1829.7,144.9,146.1,2.4,20.8,80.6
Wisconsin,2012,488,1822.3,143.5,175.5,3,21.3,80.7
Wisconsin,2013,424,1636,128.6,161.6,2.8,29.4,84.2
Wisconsin,2014,368.5,1547.6,172.3,170.4,2.9,29.1,88
Wisconsin,2015,338.8,1444.8,190.3,180.1,4.2,30.8,90.7
Wisconsin,2016,336.1,1424.8,172.3,186.3,4,34.2,81.4
Wisconsin,2017,303.7,1341.3,163.4,204.8,3.2,36.9,75
Wisconsin,2018,242.5,1168.9,148.5,193.7,3,38.7,60
Wisconsin,2019,217.6,1127,126.8,200,3,38.8,51.4
Wyoming,1960,299.9,1399.7,114.8,44.5,4.8,7,53.3
Wyoming,1961,362.7,1404.4,113.9,42.6,3.3,3.6,35.8
Wyoming,1962,284.4,1144.4,135.9,17.8,3.3,7.7,14
Wyoming,1963,345.1,1322.6,136.8,32,3.6,6.2,21.4
Wyoming,1964,379.3,1330,119.2,53.9,5.5,10.2,13.4
Wyoming,1965,363.2,1397.6,136.2,43.2,2.9,11.5,17.9
Wyoming,1966,383.9,1597.9,150.8,45,4.9,12.2,21
Wyoming,1967,506,1637.8,174.9,67.6,4.8,7.3,13.7
Wyoming,1968,545.1,1779.7,136.8,60.6,6.3,8.9,12.4
Wyoming,1969,565,1870,177.2,51.6,10.3,11.6,15.9
Wyoming,1970,645.9,2048.6,164.6,73.1,5.7,12.3,22
Wyoming,1971,586.2,1892.1,181.8,117.4,5.3,13.8,20
Wyoming,1972,596.2,2084.1,203.8,96.2,4.1,13.9,33.9
Wyoming,1973,699.7,2282.7,214.4,160.9,6.8,15.6,32.9
Wyoming,1974,827.3,2464.1,214.5,81.6,5,15.3,42.6
Wyoming,1975,863.4,2810.7,277.5,127.5,10.2,17.1,49.5
Wyoming,1976,764.6,2750.3,242.1,157.2,6.9,24.9,29.2
Wyoming,1977,811.6,2772.2,282,173.9,5.4,21.9,39.7
Wyoming,1978,836.1,3035.6,342.5,201.7,7.1,23.6,48.1
Wyoming,1979,863.8,3246,363.3,272,9.1,27.6,42.2
Wyoming,1980,903.7,3344.9,345.2,313.5,6.2,28.6,44.4
Wyoming,1981,961,3449.6,291.3,347.4,5.5,35.4,41.9
Wyoming,1982,882.9,3367.1,249.8,233.7,9.2,27.1,34.3
Wyoming,1983,705.4,2905.1,166.1,180.2,5.8,21.4,29.8
Wyoming,1984,641.7,2645.4,153.6,194.7,3.3,20.9,23.1
Wyoming,1985,690.6,2894.3,173.5,210,4.3,22.4,20
Wyoming,1986,817.4,3078.1,168.6,243.4,5.3,21.9,22.5
Wyoming,1987,717.6,2892,138.6,229.6,2,31.4,20
Wyoming,1988,658.8,2851.8,142.5,272.4,2.5,24,15.1
