ลำดับ,กว้าง,ยาว,หนา,น้ำหนักก่อนผ่า(g),น้ำหนักเปลือก+เนื้อหลังผ่า(g),น้ำหนักเนื้อซ้าย(g),น้ำหนักเนื้อขวา(g),น้ำหนักเนื้อรวม(g),Defectเนื้อมีจุดดำ,Defectเนื้อแหว่ง,Defectเนื้อช้ำมีจุดน้ำมัน,ความสมบูรณ์(%)
134,21.38,28.94,13.83,4.32,4.51,0.82,1,1.82,,,,100
135,20.91,26.45,14.93,3.61,3.6,0.25,0.4,0.65,,1,,50
136,22.6,29.76,13.76,4.75,4.61,0.68,0.55,1.23,,1,,100
137,23.25,29.77,15.63,5.44,5.54,0.8,1,1.8,,,,100
138,20.72,30.9,13.88,4.9,4.89,1.96,0.26,2.22,,,,100
139,20.95,29.99,12.23,3.86,4.7,0.48,0.51,0.99,,,,100
140,19.32,27.05,13.34,4.05,3.76,0.99,0.4,1.39,,,,100
141,20.41,26.95,13.91,4.6,4.29,0.71,0.91,1.62,,,,100
142,22.42,29.75,18.42,5.5,5.39,0.91,0.91,1.82,,,,100
143,20.67,30.9,14.3,4.12,4.19,0.64,0.7,1.34,,1,,50
144,21.16,29.83,16.47,4.74,4.78,0.83,0.6,1.43,,1,,50
145,20.21,29.78,12.87,4.2,4.12,0.68,0.76,1.44,,,,100
146,20.59,27.21,13.62,4.46,4.16,0.78,0.55,1.33,,,,100
147,27.43,4.05,16.59,8.65,8.55,0.85,1.16,2.01,,1,,50
148,23.84,31.28,18.56,5.58,5.95,1.08,0.56,1.64,,1,,50
149,22.36,31.38,15.39,5.86,5.6,0.98,0.75,1.73,,1,,50
150,23.92,32.02,16.27,6.69,6.68,1.22,0.87,2.09,,,,100
151,20.25,26.67,15.6,4.35,4.39,0.67,0.8,1.47,,,,100
152,24.43,33.56,14.44,4.89,4.94,0.73,0.76,1.49,,1,,50
153,21.27,28.34,16.56,5.25,4.84,0.68,0.78,1.46,,,,100
154,22,30.65,17.48,6.43,6.13,1.2,0.64,1.84,,,,100
155,21.08,29.82,12.27,4.1,4.16,0.81,0.45,1.26,,1,,50
156,19.86,28.36,14.94,4.46,4.43,0.75,0.83,1.58,,,,100
157,20.12,25.84,12.76,4.02,3.91,0.61,0.59,1.2,,,,100
158,23.69,38.67,15.77,7.2,7.13,1.56,0.83,2.39,,,,100
159,24.8,33.85,17.26,6.05,6.49,0.98,1.5,2.48,,,,100
160,25.08,33.53,16.65,4.7,4.72,เสีย,เสีย,#VALUE!,,,,0
161,20.3,27.83,14.51,4.19,4.16,0.59,0.73,1.32,,1,,50
162,22.08,22.29,16.05,6.6,6.17,1.28,0.78,2.06,,,,100
163,24.36,33.72,14.75,5.92,5.86,1.13,0.9,2.03,,1,,50
